times_name,times_from,times_to,kings_name,birth_date,death_date,rule_from,rule_to
Początki państwa,0,1138,Mieszko I,930,992,960,992
Początki państwa,0,1138,Bolesław Chrobry,967,1025,992,1025
Początki państwa,0,1138,Mieszko II Lambert - 1,990,1034,1025,1031
Początki państwa,0,1138,Bezprym,986,1032,1031,1032
Początki państwa,0,1138,Mieszko II Lambert - 2,990,1034,1032,1034
Początki państwa,0,1138,Kazimierz Odnowiciel,1016,1058,1034,1058
Początki państwa,0,1138,Bolesław Śmiały,1042,1081,1058,1079
Początki państwa,0,1138,Władysław Herman,1043,1102,1079,1098
Początki państwa,0,1138,Bolesław Krzywousty,1086,1138,1098,1102
Zjednoczone królestwo,1300,1572,Wacław II,1271,1305,1291,1305
Zjednoczone królestwo,1300,1572,Władysław Łokietek,1260,1333,1320,1333
Zjednoczone królestwo,1300,1572,Kazimierz III Wielki,1310,1370,1333,1370
Zjednoczone królestwo,1300,1572,Ludwik Węgierski,1326,1382,1370,1382
Zjednoczone królestwo,1300,1572,Jadwiga Andegaweńska,1374,1399,1384,1399
Zjednoczone królestwo,1300,1572,Władysław II Jagiełło,1362,1434,1386,1434
Zjednoczone królestwo,1300,1572,Władysław III Warneńczyk,1424,1444,1434,1444
Zjednoczone królestwo,1300,1572,Kazimierz IV Jagiellończyk,1427,1492,1447,1492
Zjednoczone królestwo,1300,1572,Jan Olbracht,1459,1501,1492,1501
Zjednoczone królestwo,1300,1572,Aleksander Jagiellończyk,1461,1506,1501,1506
Zjednoczone królestwo,1300,1572,Zygmunt I Stary,1467,1548,1506,1548
Zjednoczone królestwo,1300,1572,Zygmunt II August,1520,1572,1548,1572
Rzeczpospolita Obojga Narodów,1572,1795,Henryk Walezy,1551,1589,1573,1575
Rzeczpospolita Obojga Narodów,1572,1795,Anna Jagiellonka,1523,1596,1575,1586
Rzeczpospolita Obojga Narodów,1572,1795,Stefan Batory,1533,1586,1576,1586
Rzeczpospolita Obojga Narodów,1572,1795,Zygmunt III Waza,1566,1632,1587,1632
Rzeczpospolita Obojga Narodów,1572,1795,Władysław IV Waza,1595,1648,1632,1648
Rzeczpospolita Obojga Narodów,1572,1795,Jan Kazimierz Waza,1609,1672,1648,1668
Rzeczpospolita Obojga Narodów,1572,1795,Michał Korybut Wiśniowiecki,1640,1673,1669,1673
Rzeczpospolita Obojga Narodów,1572,1795,Jan III Sobieski,1629,1696,1674,1696
Rzeczpospolita Obojga Narodów,1572,1795,August II Mocny - 1,1670,1733,1697,1704
Rzeczpospolita Obojga Narodów,1572,1795,Stanisław Leszczyński - 1,1677,1766,1704,1709
Rzeczpospolita Obojga Narodów,1572,1795,August II Mocny - 2,1670,1733,1709,1733
Rzeczpospolita Obojga Narodów,1572,1795,Stanisław Leszczyński - 2,1677,1766,1733,1736
Rzeczpospolita Obojga Narodów,1572,1795,August III Sas,1696,1763,1733,1763
Rzeczpospolita Obojga Narodów,1572,1795,Stanisław August Poniatowski,1732,1798,1764,1795
